iter	Logloss
0	0.6818609506
1	0.669502652
2	0.6590624192
3	0.6497347537
4	0.6386535283
5	0.6284654069
6	0.6196018067
7	0.6092263901
8	0.6012469425
9	0.5930504354
10	0.5855291725
11	0.5765200454
12	0.5684487359
13	0.559875545
14	0.5517490241
15	0.5460634677
16	0.5399701525
1717	0.5798734411818	0.5746865441919	0.570897920	020	0.566844621	021	0.562670122	022	0.557696423	023	0.553440924	024	0.5497436252525	0.5453191592626	0.5424188927	27	0.5396346628	28	0.5367975029	29	0.533387330	030	0.529819331	031	0.526366232	032	0.5227145887
33	0.519272334	034	0.517096935	035	0.515192936	036	0.512389737	037	0.510208038	038	0.507654439	039	0.505483640	040	0.503530241	041	0.501163242	042	0.4997321763
43	0.4983790479
44	0.4957331776
45	0.4931019434
46	0.4903439712
47	0.4882398934
48	0.4869449131
49	0.4849392766
50	0.4829343232
51	0.481799819
52	0.4798626508
53	0.4784576922
54	0.4769804388
55	0.4759066425
56	0.4740943276
57	0.4722547881
58	0.4711102955
59	0.4695347519
60	0.4683298694
61	0.4673528863
62	0.466242312
63	0.4645212384
64	0.4626593265
65	0.4612698885
66	0.4601520629
67	0.458633715
68	0.4571641382
69	0.4555304418
70	0.4545532195
71	0.4536680083
72	0.4523197152
73	0.4515689699
74	0.4502547493
75	0.4490438717
76	0.4482531245
77	0.44734872
78	0.4463597276
79	0.4455791125
80	0.4445553434
81	0.443435019
82	0.4424432507
83	0.4413709045
84	0.440382627
85	0.4396951923
86	0.4386882958
87	0.4371940429
88	0.4365344037
89	0.4355596774
90	0.4347768153
91	0.4338285851
92	0.4326182401
93	0.4318438058
94	0.4311632256
95	0.4302677263
96	0.4297299562
97	0.4289124631
98	0.4281312939
99	0.4272861745
100	0.4264172301
101	0.4256285762
102	0.4248605414
103	0.4241183244
104	0.4235563431
105	0.4231192482
106	0.422556331
107	0.4216955461
108	0.421294865
109	0.4203521316
110	0.4194250425
111	0.4186435094
112	0.4179787335
113	0.4174865726
114	0.4169337614
115	0.4164089967
116	0.4160371596
117	0.4155384494
118	0.4149625637
119	0.4143376298
120	0.4136572896
121	0.4132734941
122	0.4126405233
123	0.4121633775
124	0.4114755751
125	0.4111624072
126	0.4107640837
127	0.4101125405
128	0.4097050344
129	0.409111527
130	0.4085621436
131	0.4080536921
132	0.4075023991
133	0.4069207396
134	0.406632156
135	0.4063400578
136	0.4060102179
137	0.4057065294
138	0.4051355437
139	0.404854293
140	0.4044869235
141	0.4041153304
142	0.4037299015
143	0.4033395205
144	0.4029930641
145	0.4026030244
146	0.4022965751
147	0.4016450677
148	0.401169639
149	0.4007371461
150	0.4002505036
151	0.3998061893
152	0.3995216711
153	0.3989120619
154	0.3984821909
155	0.3982739545
156	0.3977990786
157	0.3975142344
158	0.397147767
159	0.3968968757
160	0.3965807719
161	0.3963984451
162	0.3961396258
163	0.3958843478
164	0.3955843525
165	0.3953660557
166	0.3949507193
167	0.3944797583
168	0.394151351
169	0.3937285597
170	0.3933718989
171	0.3930634727
172	0.3927915648
173	0.3923881467
174	0.3922126914
175	0.3920728526
176	0.3918025509
177	0.3913661707
178	0.391178517
179	0.3908684939
180	0.3906766313
181	0.3902860913
182	0.3901092729
183	0.389714588
184	0.3895557817
185	0.3893250021
186	0.3891313439
187	0.3889874735
188	0.3886616503
189	0.3884550823
190	0.3881161151
191	0.3879230015
192	0.387751637
193	0.387593823
194	0.3872057904
195	0.3870471399
196	0.3867491527
197	0.3862870834
198	0.3860497847
199	0.3858599929
200	0.3856898669
201	0.3855301129
202	0.3852998958
203	0.3849322321
204	0.384793151
205	0.3846393843
206	0.3842196588
207	0.3840807157
208	0.383925184
209	0.3837840546
210	0.3836063134
211	0.3833961142
212	0.3832064435
213	0.3830431069
214	0.3828889266
215	0.3827345418
216	0.3825775662
217	0.3824107904
218	0.3820925296
219	0.3819282313
220	0.3817968259
221	0.381647716
222	0.381508801
223	0.3812404877
224	0.380975398
225	0.3808329256
226	0.3806074446
227	0.3804579865
228	0.3803110989
229	0.3801862128
230	0.3800661346
231	0.3798142152
232	0.3796383873
233	0.3793549308
234	0.3792309346
235	0.3791235826
236	0.3790162377
237	0.3788860636
238	0.3787767635
239	0.3785561198
240	0.3783161115
241	0.3782001702
242	0.3780561324
243	0.3778914368
244	0.3777774564
245	0.3776712811
246	0.3775462557
247	0.3773404731
248	0.3772468752
249	0.3770409852
250	0.3768441354
251	0.3767353574
252	0.376614659
253	0.3764208199
254	0.3762712017
255	0.3761624054
256	0.3760516324
257	0.3759512738
258	0.37566464
259	0.3755133902
260	0.3753918925
261	0.3752928752
262	0.3752049103
263	0.3749175567
264	0.3745960759
265	0.3741842143
266	0.3739680273
267	0.3738169167
268	0.3737101544
269	0.3735348712
270	0.3733155891
271	0.373228428
272	0.3729453915
273	0.3728447099
274	0.3726433215
275	0.3725325584
276	0.3723041165
277	0.3721583169
278	0.3720468857
279	0.3718544702
280	0.3717574917
281	0.3715805436
282	0.3713713764
283	0.3712277923
284	0.3710414536
285	0.3709146327
286	0.3707996362
287	0.3706679716
288	0.3705975059
289	0.3704163759
290	0.3703014857
291	0.3701688104
292	0.3700587165
293	0.3699715281
294	0.3698538518
295	0.3697750433
296	0.3695193091
297	0.3693112332
298	0.3692128166
299	0.3690993241
300	0.3690103859
301	0.3689297395
302	0.3686178966
303	0.3683208464
304	0.3680308951
305	0.3679268712
306	0.3677828625
307	0.3677094151
308	0.3676038062
309	0.3675095356
310	0.3673362214
311	0.3672269483
312	0.3671396589
313	0.3670350698
314	0.3668815004
315	0.3667645027
316	0.3665056401
317	0.3664100974
318	0.3663108594
319	0.366241754
320	0.3661134751
321	0.3659708585
322	0.3658776094
323	0.3656638951
324	0.3655099575
325	0.3653520086
326	0.365267883
327	0.3651977437
328	0.3651147461
329	0.3650206508
330	0.3648620885
331	0.3647356151
332	0.3646283887
333	0.3644994093
334	0.3643896403
335	0.364320416
336	0.3642200812
337	0.3640952551
338	0.3639855016
339	0.3639210902
340	0.3638245245
341	0.3637023861
342	0.3635891559
343	0.3634634144
344	0.3633527868
345	0.3632669825
346	0.3631385617
347	0.3629853035
348	0.3628783806
349	0.3628260271
350	0.3627347598
351	0.3626288854
352	0.3625515321
353	0.3624403133
354	0.3624235607
355	0.3622998922
356	0.3621499778
357	0.3621022529
358	0.3620239253
359	0.3619327416
360	0.36182978
361	0.3616098208
362	0.3614875659
363	0.3613314304
364	0.3612356557
365	0.3610909624
366	0.3609103091
367	0.3607540189
368	0.360672863
369	0.3605983463
370	0.3604190332
